;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_12;Left;2;7.195908685;4.931381681;17.12150866;;;;;;
Donor_12;Left;3;7.411678717;5.457676572;17.88360998;;;;;;
Donor_13;Right;1;4.416282978;7.957740272;18.92395493;4.587347108;0.53544862;8.363427205;1.316739182;18.8644861;0.17936727
Donor_13;Right;2;5.187425597;7.297268836;18.66293722;;;;;;
Donor_13;Right;3;4.15833275;9.835272507;19.00656615;;;;;;
Donor_13;Left;1;4.39694355;11.94402408;18.71686519;4.344031384;0.054886992;11.56516431;1.063533902;18.67368235;0.438701803
Donor_13;Left;2;4.347788029;10.36407573;19.08919584;;;;;;
Donor_13;Left;3;4.287362572;12.38739312;18.21498601;;;;;;
Donor_14;Right;1;7.760499641;6.72183604;17.0248277;7.316850779;0.445239279;8.1049412;1.367104286;16.84475214;0.291362877
Donor_14;Right;2;7.320014749;8.137525482;16.50860073;;;;;;
Donor_14;Right;3;6.870037946;9.455462077;17.000828;;;;;;
Donor_14;Left;1;8.262449449;6.685978728;16.48882276;7.706684786;0.594240676;7.621934538;0.951254433;16.8189781;0.530009414
Donor_14;Left;2;7.777322482;7.592041941;16.53778447;;;;;;
Donor_14;Left;3;7.080282427;8.587782945;17.43032706;;;;;;
Donor_15;Right;1;5.930666918;9.37886566;17.1085284;5.790239506;0.358443017;10.40673183;1.56120381;17.00368066;0.221212809
Donor_15;Right;2;5.382844094;12.20323097;16.74953837;;;;;;
Donor_15;Right;3;6.057207507;9.638098854;17.15297521;;;;;;
Donor_15;Left;1;6.108305177;12.35334048;13.98014241;5.356228445;0.722297435;13.21874073;1.520431998;14.54687957;0.533903073
Donor_15;Left;2;5.29243842;14.97432606;14.62010718;;;;;;
Donor_15;Left;3;4.667941738;12.32855566;15.04038913;;;;;;
Donor_16;Right;1;6.289171233;5.965185643;20.48039189;6.096953178;0.506752247;7.038557474;1.23669615;20.16358279;0.288943401
Donor_16;Right;2;6.479474493;6.75957063;19.91455659;;;;;;
Donor_16;Right;3;5.522213809;8.39091615;20.09579989;;;;;;
Donor_16;Left;1;6.410788064;7.028037208;18.94228706;6.365981863;0.073848736;7.549197965;0.635096052;19.071924;0.112787581
Donor_16;Left;2;6.280746135;8.256589931;19.14754697;;;;;;
Donor_16;Left;3;6.40641139;7.362966756;19.12593795;;;;;;
Donor_17;Right;1;4.051733382;14.93467228;18.23927486;4.051733382;#DIV/0!;14.93467228;#DIV/0!;18.23927486;#DIV/0!
Donor_17;Right;2;;;;;;;;;
Donor_17;Right;3;;;;;;;;;
Donor_17;Left;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_17;Left;2;;;;;;;;;
Donor_17;Left;3;;;;;;;;;
Donor_18;Right;1;6.367267511;8.567902814;17.01693236;7.204598207;0.75915361;6.357519398;1.950871069;18.17186003;1.060104421
Donor_18;Right;2;7.398603403;5.628561385;18.39800075;;;;;;
Donor_18;Right;3;7.847923706;4.876093995;19.10064699;;;;;;
Donor_18;Left;1;4.005504762;12.61731285;15.96241202;4.965509985;0.873622612;8.930121707;3.235534822;18.53545421;2.25546749
Donor_18;Left;2;5.177167767;7.60820775;20.17086497;;;;;;
Donor_18;Left;3;5.713857425;6.564844525;19.47308565;;;;;;
Donor_19;Right;1;3.929405341;9.637182366;18.35460032;4.425081917;0.430530057;8.365216555;1.36206681;20.19219771;1.706884158
Donor_19;Right;2;4.705854677;8.530359875;20.49384134;;;;;;
Donor_19;Right;3;4.639985732;6.928107425;21.72815149;;;;;;
Donor_19;Left;1;7.303191908;5.751664769;18.32821937;6.850607336;0.391961497;6.128163508;0.329670437;17.57036327;0.707462363
Donor_19;Left;2;6.627351368;6.365086503;16.92734509;;;;;;
Donor_19;Left;3;6.621278733;6.267739251;17.45552536;;;;;;
Donor_20;Right;1;4.97181969;16.15472366;17.01960888;5.13801477;0.170676384;15.0073426;1.016682453;17.07244166;0.351834272
Donor_20;Right;2;5.312844663;14.2185225;16.75001156;;;;;;
Donor_20;Right;3;5.129379957;14.64878164;17.44770455;;;;;;
Donor_20;Left;1;5.411894268;5.596143786;16.96136874;5.182200942;0.354238798;6.413606775;0.737440974;17.10946383;0.194598446
Donor_20;Left;2;5.360468348;6.615856099;17.03715758;;;;;;
Donor_20;Left;3;4.774240209;7.028820439;17.32986519;;;;;;
Donor_21;Right;1;8.789811322;6.99532841;16.52990588;7.862567328;0.96414634;8.143337635;1.391857391;16.16083931;0.914272355
Donor_21;Right;2;7.932557641;7.743266731;16.83289014;;;;;;
Donor_21;Right;3;6.865333021;9.691417763;15.11972192;;;;;;
Donor_21;Left;1;8.278588435;8.994423071;16.41904506;8.616330903;0.313794885;8.297783706;0.984137833;17.10342911;0.599015585
Donor_21;Left;2;8.898845215;7.171937515;17.53241703;;;;;;
Donor_21;Left;3;8.671559059;8.72699053;17.35882523;;;;;;
Donor_22;Right;1;4.278855412;7.976378268;19.07996411;4.178839291;0.126263036;7.929225011;0.419448392;19.07111685;0.392454606
Donor_22;Right;2;4.220700355;8.323104226;18.67431341;;;;;;
Donor_22;Right;3;4.036962107;7.488192538;19.45907302;;;;;;
Donor_22;Left;1;5.025379239;7.277387372;17.78982837;4.970324326;0.160824036;7.487277561;0.524381441;18.26696296;0.934419926
Donor_22;Left;2;4.789202964;8.084092025;17.66743865;;;;;;
Donor_22;Left;3;5.096390776;7.100353285;19.34362185;;;;;;
Donor_23;Right;1;5.362328434;8.411916487;17.8775337;5.26213907;0.095527971;8.51241686;0.451093576;17.98331947;0.210442447
Donor_23;Right;2;5.252008893;9.005284455;17.84675773;;;;;;
Donor_23;Right;3;5.172079883;8.120049638;18.22566697;;;;;;
Donor_23;Left;1;5.779097223;9.317239928;16.2802459;5.888732909;0.22946878;8.891191647;0.562460778;16.66085439;0.360479492
Donor_23;Left;2;5.734646627;9.102695801;16.99709817;;;;;;
Donor_23;Left;3;6.152454876;8.253639211;16.70521909;;;;;;
Donor_24;Right;1;5.631740078;8.343029373;15.26226266;5.397223292;0.317675857;8.126579386;1.137371978;15.18898177;0.363441091
Donor_24;Right;2;5.035691777;9.140173036;14.79448401;;;;;;
Donor_24;Right;3;5.524238021;6.89653575;15.51019865;;;;;;
Donor_24;Left;1;6.336603438;7.66535615;17.47557164;6.489486135;0.313177297;7.971282394;1.439395778;16.25236461;1.391524496
Donor_24;Left;2;6.84974112;6.709442683;16.54307139;;;;;;
Donor_24;Left;3;6.282113846;9.539048348;14.73845082;;;;;;
Donor_25;Right;1;5.265959542;10.65177808;13.98759079;6.006346907;1.083663758;9.559259661;1.012890489;15.20368565;1.057705568
