Sample ID,Stiffness N/mm
385L,7164
385R,6767
386L,9122
387L,6901
388L,7494
388R,7046
389L,8030
389R,7570
392L,8069
392R,8400
394L,7529
394R,6908
395L,7237
397L,9318
397R,7672
398R,8886
399L,8832
399R,8994
400L,7772
401L,5993
401R,6257
402R,7519
403L,7788
403R,7144
404L,8867
404R,7758
409R,8685
415R,7609
416R,7432
419L,7098
419R,7137
420R,6637
421L,8539
433R,7165
437R,5917
